,Brand,Model,Year,Mileage,Condition,Price,Engine Type,Engine Capacity,Exterior Color,Ratings
0,Toyota,Toyota Corolla,2015,"186,024",Foreign Used,"₦ 7,530,000",4-Cylinder(I4),Approx. 1000,Grey, (4.20)
1,Mercedes-Benz,Mercedes-Benz GLK 350,2015,"87,465",Foreign Used,"₦ 13,530,000",6-Cylinder(V6),Approx. 3,Black, (4.50)
2,Toyota,Toyota Highlander,2008,"142,719",Foreign Used,"₦ 7,230,000",6-Cylinder(V6),Approx. 3500,Red, (4.40)
3,Toyota,Toyota Sienna,2006,"115,232",Foreign Used,"₦ 4,880,000",6-Cylinder(I6),Approx. 3,Gold, (4.50)
4,Hyundai,Hyundai Grand Santa Fe,2013,"110,903",Foreign Used,"₦ 9,015,000",6-Cylinder(V6),Approx. 3300,Silver, (4.00)
5,Honda,Honda Crosstour,2012,"120,661",Foreign Used,"₦ 5,030,000",6-Cylinder(V6),Approx. 3,Silver, (4.50)
6,Toyota,Toyota Camry,2014,"42,677",Foreign Used,"₦ 7,265,000",4-Cylinder(I4),Approx. N/A,Silver, (4.00)
7,Toyota,Toyota Camry,2012,"102,335",Foreign Used,"₦ 6,015,000",4-Cylinder(I4),Approx. 1000,Black, (4.30)
8,Toyota,Toyota Corolla,2011,"80,547",Foreign Used,"₦ 6,015,000",4-Cylinder(I4),Approx. 1000,Black, (4.30)
9,Toyota,Toyota Hiace,2007,"65,234",Foreign Used,"₦ 10,515,000",4-Cylinder(I4),Approx. 2400,Ash, (4.20)
10,Mercedes-Benz,Mercedes-Benz GLK 350,2012,"65,345",Foreign Used,"₦ 10,330,000",6-Cylinder(V6),Approx. 5900,White, (4.40)
11,Toyota,Toyota Highlander,2008,"152,000",Foreign Used,"₦ 10,715,000",6-Cylinder(V6),Approx. 3500,Dark Grey, (4.40)
12,Lexus,Lexus RX 350,2013,"91,276",Foreign Used,"₦ 14,015,000",6-Cylinder(V6),Approx. 3500,Black, (4.40)
13,Toyota,Toyota Matrix,2005,"121,256",Foreign Used,"₦ 3,530,000",4-Cylinder(I4),Approx. N/A,Black, (4.50)
14,Lexus,Lexus RX 350,2011,"96,074",Foreign Used,"₦ 12,030,000",6-Cylinder(V6),Approx. 35000,Red, (4.40)
15,Toyota,Toyota Camry,2009,"98,638",Foreign Used,"₦ 4,965,000",4-Cylinder(I4),Approx. 4800,Dark Grey, (4.40)
16,Toyota,Toyota Camry,2014,"30,382",Locally used,"₦ 7,530,000",4-Cylinder(I4),Approx. 2000,Blue, (3.40)
17,Toyota,Toyota RAV 4,2010,"194,780",Foreign Used,"₦ 6,865,000",6-Cylinder(V6),Approx. 1000,White, (4.20)
18,Hyundai,Hyundai Sonata,2015,"58,900",Locally used,"₦ 5,695,000",6-Cylinder(V6),Approx. 5900,Silver, (3.50)
19,Toyota,Toyota Avalon,2005,"84,740",Foreign Used,"₦ 3,165,000",6-Cylinder(I6),Approx. 3500,Sliver, (4.00)
20,Lexus,Lexus ES 350,2007,"97,852",Foreign Used,"₦ 6,180,000",6-Cylinder(V6),Approx. 2500,Black, (4.50)
21,Toyota,Toyota Corolla,2013,"87,965",Foreign Used,"₦ 5,080,000",4-Cylinder(I4),Approx. 1500,Gray, (4.50)
22,Lexus,Lexus ES 350,2007,"96,452",Foreign Used,"₦ 6,080,000",6-Cylinder(V6),Approx. 2500,Gold, (4.50)
23,Toyota,Toyota Camry,2012,"176,000",Foreign Used,"₦ 6,515,000",4-Cylinder(I4),Approx. N/A,Silver, (4.20)
24,Toyota,Toyota Venza,2013,"201,667",Foreign Used,"₦ 9,815,000",6-Cylinder(V6),Approx. 5900,Black, (4.30)
25,Toyota,Toyota Venza,2011,"133,905",Foreign Used,"₦ 9,630,000",6-Cylinder(V6),Approx. 59000,White, (4.50)
26,Toyota,Toyota Avalon,2006,"229,353",Foreign Used,"₦ 4,330,000",6-Cylinder(V6),Approx. 3500,Silver, (4.30)
27,Toyota,Toyota Camry,2007,"182,000",Foreign Used,"₦ 4,615,000",4-Cylinder(I4),Approx. N/A,Blue, (4.40)
28,Toyota,Toyota Prado TXL,2015,"47,830",Locally used,"₦ 18,715,000",4-Cylinder(I4),Approx. 2000,Black, (4.00)
29,Toyota,Toyota Corolla,2014,"75,236",Foreign Used,"₦ 7,780,000",4-Cylinder(I4),Approx. 2000,Dark Red, (4.50)
30,Toyota,Toyota Highlander,2014,"120,000",Foreign Used,"₦ 15,030,000",6-Cylinder(V6),Approx. 6,White, (4.40)
