brand,model,mileage,condition,year,color,engine_size,cylinder,price
Lexus,RX 330,213521,Nigerian Used,2004,Silver,3500,NULL,"₦ 2,730,000"
Toyota,Highlander,235145,Nigerian Used,2005,Silver,3500,NULL,"₦ 1,890,000"
Toyota,Corolla,405472,Nigerian Used,2002,Black,1800,NULL,"₦ 1,050,000"
Ford,Edge,290102,Nigerian Used,2008,Gray,3500,NULL,"₦ 1,275,000"
Ford,Edge,76565,Nigerian Used,2014,Black,3500,NULL,"₦ 3,675,000"
Kia,Rio,34062,Nigerian Used,2012,Blue,1400,NULL,"₦ 1,260,000"
Lexus,RC,85714,Foreign Used,2016,White,3500,6,"₦ 9,975,000"
Toyota,Corolla,232372,Nigerian Used,2012,Silver,1800,NULL,"₦ 2,100,000"
Honda,Civic,147631,Nigerian Used,2007,Silver,1300,NULL,"₦ 1,554,000"
Toyota,Camry,125817,Nigerian Used,2009,Silver,2400,NULL,"₦ 2,415,000"
Peugeot,207,769765,Nigerian Used,2010,Gray,1600,NULL,"₦ 997,500"
Honda,City,357519,Nigerian Used,2007,Gray,1600,NULL,"₦ 945,000"
Lexus,IS,208056,Nigerian Used,2009,Black,2500,6,"₦ 3,360,000"
Volkswagen,Polo,130829,Nigerian Used,2013,Silver,1600,NULL,"₦ 1,890,000"
Toyota,Corolla,94247,Nigerian Used,2008,Green,1400,NULL,"₦ 1,785,000"
Toyota,Camry,160031,Foreign Used,2013,White,2500,NULL,"₦ 7,072,000"
Toyota,Camry,174500,Nigerian Used,2007,Black,2400,NULL,"₦ 3,640,000"
Toyota,Camry,279751,Foreign Used,2013,Blue,2500,NULL,"₦ 8,320,000"
Hyundai,Sonata,94415,Nigerian Used,2015,Silver,2400,NULL,"₦ 6,448,000"
Toyota,Camry,65092,Nigerian Used,2013,Silver,3500,NULL,"₦ 6,032,000"
Nissan,Sentra,149953,Foreign Used,2015,Silver,1800,4,"₦ 5,775,000"
Toyota,Camry,213417,Nigerian Used,2007,Silver,2400,NULL,"₦ 3,328,000"
Lexus,RX 350,108033,Nigerian Used,2008,Blue,3500,NULL,"₦ 5,200,000"
Toyota,Camry,104763,Foreign Used,2013,Black,2800,NULL,"₦ 6,595,000"
Toyota,Corolla,332522,Nigerian Used,2009,Silver,1800,NULL,"₦ 3,640,000"
Toyota,Camry,134287,Nigerian Used,2007,Black,2400,NULL,"₦ 3,120,000"
Toyota,Camry,226347,Foreign Used,2011,Gray,2500,NULL,"₦ 4,410,000"
Toyota,Highlander,240911,Nigerian Used,2011,White,3500,NULL,"₦ 8,944,000"
Toyota,Camry,91621,Nigerian Used,2007,Silver,3500,NULL,"₦ 3,744,000"
Hyundai,Creta,57556,Nigerian Used,2017,Gray,1600,NULL,"₦ 7,350,000"
Lexus,GS,264049,Nigerian Used,2006,Black,3000,8,"₦ 3,328,000"
Lexus,RX 350,108033,Nigerian Used,2008,Blue,3500,NULL,"₦ 5,200,000"
Toyota,Sienna,235494,Nigerian Used,2004,White,3300,NULL,"₦ 3,328,000"
Hyundai,Sonata,116235,Nigerian Used,2015,Silver,1800,NULL,"₦ 5,720,000"
Toyota,Camry,311658,Foreign Used,2014,Silver,3500,NULL,"₦ 8,400,000"
Toyota,Tundra,311514,Nigerian Used,2011,Gray,5700,NULL,"₦ 11,550,000"
Hyundai,Sonata,94415,Nigerian Used,2015,Silver,2400,NULL,"₦ 6,448,000"
Lexus,ES,229610,Nigerian Used,2011,Silver,3500,NULL,"₦ 5,720,000"
Lexus,IS,107448,Nigerian Used,2007,Gray,2500,NULL,"₦ 3,640,000"
Toyota,Highlander,284208,Nigerian Used,2001,Silver,3000,NULL,"₦ 3,640,000"
Hyundai,Sonata,119874,Nigerian Used,2011,White,2400,NULL,"₦ 3,150,000"
Toyota,Camry,395002,Foreign Used,2005,Silver,2400,NULL,"₦ 3,640,000"
Lexus,RX 350,166230,Foreign Used,2010,Gray,3400,NULL,"₦ 9,450,000"
Acura,TL,287146,Nigerian Used,2010,White,3500,NULL,"₦ 3,640,000"
Land Rover,Range Rover,100097,Nigerian Used,2011,Black,3500,NULL,"₦ 10,920,000"
Toyota,Sienna,307224,Foreign Used,2005,Gold,3300,NULL,"₦ 4,888,000"
Toyota,Highlander,79850,Nigerian Used,2015,Black,3500,NULL,"₦ 14,560,000"
Toyota,Corolla,78077,Nigerian Used,2012,Black,1800,NULL,"₦ 3,360,000"
Mercedes-Benz,E350,79024,Nigerian Used,2013,Black,3500,NULL,"₦ 5,250,000"
Toyota,Camry,322278,Nigerian Used,2007,Gray,3500,NULL,"₦ 3,852,000"
Mercedes-Benz,GLK-Class,201186,Foreign Used,2010,Black,3500,NULL,"₦ 8,400,000"
Mercedes-Benz,M Class,152843,Nigerian Used,2008,Gray,3500,6,"₦ 4,160,000"
Toyota,Camry,395002,Foreign Used,2005,Silver,2400,NULL,"₦ 3,640,000"
Lexus,GX,168388,Nigerian Used,2006,Black,4200,NULL,"₦ 6,760,000"
Lexus,ES,100121,Nigerian Used,2007,Blue,3500,NULL,"₦ 4,264,000"
Mercedes-Benz,M Class,224160,Nigerian Used,2006,Red,3500,NULL,"₦ 3,952,000"
Land Rover,Range Rover,88,Nigerian Used,2014,Gold,3000,NULL,"₦ 28,200,000"
Toyota,Highlander,201583,Nigerian Used,2006,Gold,3300,NULL,"₦ 3,120,000"
Acura,MDX,154459,Nigerian Used,2007,Green,3700,6,"₦ 4,740,000"
Toyota,Venza,165972,Nigerian Used,2009,Purple,3500,6,"₦ 6,760,000"
Lexus,ES,252761,Nigerian Used,2007,White,3500,6,"₦ 3,850,000"
Hyundai,Sonata,177629,Foreign Used,2013,Blue,2400,4,"₦ 6,240,000"
Toyota,Venza,110458,Foreign Used,2013,Black,3500,NULL,"₦ 10,500,000"
Toyota,Camry,65092,Nigerian Used,2013,Silver,3500,NULL,"₦ 6,032,000"
Lexus,GS,160742,Nigerian Used,2006,Blue,3500,6,"₦ 3,328,000"
Mercedes-Benz,M Class,137469,Foreign Used,2011,White,3500,NULL,"₦ 7,875,000"
Toyota,Highlander,79850,Nigerian Used,2015,Black,3500,NULL,"₦ 14,560,000"
Acura,RDX,269438,Foreign Used,2008,Black,2300,4,"₦ 4,410,000"
Toyota,Venza,77364,Foreign Used,2013,Silver,3500,NULL,"₦ 11,960,000"
Toyota,Venza,149415,Nigerian Used,2012,Brown,2500,6,"₦ 6,300,000"
Mercedes-Benz,GL-Class,100261,Foreign Used,2013,White,4700,NULL,"₦ 14,700,000"
Toyota,Highlander,338814,Nigerian Used,2003,Blue,2400,NULL,"₦ 3,952,000"
Jeep,Liberty,114736,Nigerian Used,2008,Silver,3700,NULL,"₦ 3,990,000"
Nissan,Sentra,149953,Foreign Used,2015,Silver,1800,4,"₦ 5,775,000"
Toyota,Highlander,338814,Nigerian Used,2003,Blue,2400,NULL,"₦ 3,952,000"
Hyundai,Creta,57556,Nigerian Used,2017,Gray,1600,NULL,"₦ 7,350,000"
Ford,Edge,186348,Foreign Used,2011,Gray,3500,NULL,"₦ 5,250,000"
Toyota,Camry,311658,Foreign Used,2014,Silver,3500,NULL,"₦ 8,400,000"
Toyota,RAV4,109651,Nigerian Used,2007,Silver,3500,4,"₦ 4,056,000"
Toyota,Sienna,206987,Nigerian Used,2007,Gold,3500,NULL,"₦ 4,680,000"
Lexus,IS,310755,Foreign Used,2007,Black,2500,NULL,"₦ 4,700,000"
Toyota,Highlander,184060,Nigerian Used,2009,Blue,3500,6,"₦ 6,760,000"
Lexus,ES,77326,Foreign Used,2008,Silver,3500,NULL,"₦ 6,760,000"
Toyota,Highlander,143477,Nigerian Used,2013,Gray,3500,NULL,"₦ 9,360,000"
Toyota,Camry,157496,Foreign Used,2010,Silver,2500,6,"₦ 4,294,500"
Toyota,Highlander,115987,Nigerian Used,2012,Black,3500,NULL,"₦ 7,800,000"
Toyota,Highlander,204586,Nigerian Used,2005,Blue,3500,NULL,"₦ 3,640,000"
Ford,Sport Trac,116627,Nigerian Used,2007,Red,3500,NULL,"₦ 3,780,000"
Ford,Explorer,219928,Nigerian Used,2013,White,2000,NULL,"₦ 6,760,000"
Toyota,Corolla,326449,Nigerian Used,2009,Silver,1800,4,"₦ 3,024,000"
Lexus,GX,246608,Nigerian Used,2008,Black,4700,NULL,"₦ 6,300,000"
Pontiac,Vibe,189435,Foreign Used,2009,Gray,2400,4,"₦ 3,990,000"
Toyota,Corolla,332522,Nigerian Used,2009,Silver,1800,NULL,"₦ 3,640,000"
Lexus,ES,146223,Nigerian Used,2007,Black,3500,NULL,"₦ 4,732,000"
Mercedes-Benz,C300,319974,Nigerian Used,2008,Gray,3000,NULL,"₦ 4,888,000"
Hyundai,Elantra,263619,Foreign Used,2013,Gray,1800,NULL,"₦ 5,408,000"
Lexus,LX,55968,Nigerian Used,2016,Black,5700,8,"₦ 63,000,000"
Toyota,Sienna,140138,Foreign Used,2011,Black,3500,NULL,"₦ 6,825,000"
Hyundai,Sonata,243435,Foreign Used,2014,Red,2400,4,"₦ 7,280,000"
Mercedes-Benz,M Class,146652,Nigerian Used,2011,Black,3500,NULL,"₦ 5,145,000"
Lexus,RX 350,213992,Foreign Used,2007,Gold,3500,NULL,"₦ 5,565,000"
Lexus,GS,167329,Nigerian Used,2006,Black,3000,NULL,"₦ 3,328,000"
Land Rover,Lr3,141123,Nigerian Used,2006,Green,4000,NULL,"₦ 3,680,000"
Mercedes-Benz,E350,79024,Nigerian Used,2013,Black,3500,NULL,"₦ 5,250,000"
Toyota,Highlander,204586,Nigerian Used,2005,Blue,3500,NULL,"₦ 3,640,000"
Lexus,RX 330,247254,Nigerian Used,2004,Silver,3300,NULL,"₦ 4,472,000"
Land Rover,Range Rover,55181,Nigerian Used,2009,Black,4600,NULL,"₦ 9,150,000"
Toyota,Camry,160002,Nigerian Used,2011,Gray,2500,NULL,"₦ 3,952,000"
Toyota,Camry,122857,Nigerian Used,2007,Gray,2400,NULL,"₦ 3,120,000"
Toyota,RAV4,69987,Nigerian Used,2014,Black,3500,NULL,"₦ 9,360,000"
Land Rover,Range Rover,100097,Nigerian Used,2011,Black,3500,NULL,"₦ 10,920,000"
Toyota,Camry,67067,Foreign Used,2020,Silver,2500,NULL,"₦ 13,800,000"
Lexus,ES,136872,Nigerian Used,2007,Brown,3500,NULL,"₦ 3,570,000"
Lexus,GS,247223,Nigerian Used,2007,Gray,3500,6,"₦ 3,360,000"
Lexus,GX,168388,Nigerian Used,2006,Black,4200,NULL,"₦ 6,760,000"
Toyota,Highlander,143477,Nigerian Used,2013,Gray,3500,NULL,"₦ 9,360,000"
Toyota,Land Cruiser Prado,80869,Nigerian Used,2011,Black,2700,NULL,"₦ 17,680,000"
Toyota,Camry,151898,Foreign Used,2012,Green,2400,NULL,"₦ 6,760,000"
Toyota,RAV4,333965,Foreign Used,2008,Black,2400,NULL,"₦ 5,250,000"
Lexus,IS,310755,Foreign Used,2007,Black,2500,NULL,"₦ 4,700,000"
Lexus,ES,77326,Foreign Used,2008,Silver,3500,NULL,"₦ 6,760,000"
Mercedes-Benz,C300,82680,Nigerian Used,2015,Blue,2500,NULL,"₦ 12,000,000"
Toyota,Corolla,200815,Nigerian Used,2009,Gold,1800,NULL,"₦ 4,160,000"
Land Rover,Range Rover,99973,Nigerian Used,2010,Black,5000,NULL,"₦ 6,240,000"
Dodge,Journey,269197,Nigerian Used,2010,Red,2400,NULL,"₦ 5,092,500"
Lexus,RX 350,139481,Nigerian Used,2008,Silver,3500,NULL,"₦ 6,240,000"
Lexus,ES,121574,Nigerian Used,2009,Blue,3500,NULL,"₦ 4,368,000"
Lexus,ES,100121,Nigerian Used,2007,Blue,3500,NULL,"₦ 4,264,000"
Toyota,Matrix,170458,Foreign Used,2009,White,2400,4,"₦ 4,300,000"
Toyota,Highlander,240911,Nigerian Used,2011,White,3500,NULL,"₦ 8,944,000"
Toyota,Corolla,99371,Nigerian Used,2011,Black,1800,NULL,"₦ 3,640,000"
Toyota,RAV4,109651,Nigerian Used,2007,Silver,3500,4,"₦ 4,056,000"
Lexus,IS,62274,Foreign Used,2015,White,2500,NULL,"₦ 13,520,000"
Toyota,Corolla,200815,Nigerian Used,2009,Gold,1800,NULL,"₦ 4,160,000"
Hyundai,Santa Fe,276589,Foreign Used,2007,Silver,2700,NULL,"₦ 3,380,000"
Toyota,Camry,194133,Foreign Used,2004,White,2400,4,"₦ 3,536,000"
Lexus,ES,226649,Nigerian Used,2004,Black,3300,NULL,"₦ 3,016,000"
Toyota,Camry,104763,Foreign Used,2013,Black,2800,NULL,"₦ 6,595,000"
Toyota,Corolla,99371,Nigerian Used,2011,Black,1800,NULL,"₦ 3,640,000"
Land Rover,Range Rover Vogue,168949,Nigerian Used,2008,Black,4400,NULL,"₦ 5,565,000"
Toyota,RAV4,109651,Nigerian Used,2007,Silver,3500,4,"₦ 4,056,000"
Toyota,Camry,322278,Nigerian Used,2007,Gray,3500,NULL,"₦ 3,852,000"
Toyota,Camry,117040,Nigerian Used,2012,Black,3500,4,"₦ 4,410,000"
Lexus,ES,139744,Foreign Used,2011,Gold,3500,NULL,"₦ 6,718,750"
Toyota,Camry,224716,Foreign Used,2013,Silver,2500,NULL,"₦ 5,775,000"
Lexus,ES,147470,Nigerian Used,2007,Gold,3500,NULL,"₦ 6,240,000"
Mercedes-Benz,C300,200657,Foreign Used,2011,Black,3000,NULL,"₦ 6,780,000"
Toyota,Camry,301735,Foreign Used,2011,Blue,2500,NULL,"₦ 5,408,000"
Toyota,Corolla,161613,Nigerian Used,2014,Green,1800,NULL,"₦ 5,040,000"
Toyota,Highlander,228822,Nigerian Used,2004,Silver,3300,4,"₦ 3,120,000"
Toyota,Camry,144198,Foreign Used,2012,Red,2500,NULL,"₦ 6,760,000"
Land Rover,Range Rover,88,Nigerian Used,2014,Gold,3000,NULL,"₦ 28,200,000"
Ford,Explorer,219928,Nigerian Used,2013,White,2000,NULL,"₦ 6,760,000"
Toyota,Hilux,335712,Nigerian Used,2013,White,2700,NULL,"₦ 6,300,000"
Lexus,ES,184980,Nigerian Used,2011,Black,3500,NULL,"₦ 4,200,000"
Ford,Edge,421952,Foreign Used,2011,Blue,3500,NULL,"₦ 6,760,000"
Toyota,Venza,240496,Nigerian Used,2013,Gray,2700,4,"₦ 7,592,000"
Hyundai,Santa Fe,81231,Nigerian Used,2012,Brown,2400,NULL,"₦ 3,675,000"
Hyundai,Santa Fe,112062,Nigerian Used,2015,Gray,2400,NULL,"₦ 6,825,000"
Toyota,Venza,234028,Nigerian Used,2009,Red,3500,6,"₦ 7,280,000"
Toyota,Tundra,223097,Foreign Used,2014,Gray,5700,NULL,"₦ 22,050,000"
Lexus,GS,256018,Nigerian Used,2006,Blue,3000,6,"₦ 3,440,000"
Toyota,Avalon,110675,Nigerian Used,2013,Silver,3500,6,"₦ 7,644,000"
Toyota,Tacoma,301097,Nigerian Used,2008,Silver,4000,6,"₦ 4,900,000"
Mini,Cooper,172555,Nigerian Used,2005,Gold,1600,NULL,"₦ 3,150,000"
Hyundai,Tucson,35991,Nigerian Used,2018,Silver,2000,NULL,"₦ 11,550,000"
Mercedes-Benz,C300,99742,Foreign Used,2010,White,3500,NULL,"₦ 5,040,000"
Toyota,Corolla,180386,Nigerian Used,2009,Silver,1800,4,"₦ 3,045,000"
Toyota,Tundra,340233,Foreign Used,2005,Black,4700,NULL,"₦ 7,488,000"
Mercedes-Benz,C300,327553,Foreign Used,2011,White,3000,6,"₦ 6,090,000"
Ford,Explorer,81174,Nigerian Used,2014,White,3500,6,"₦ 15,600,000"
Lexus,ES,185503,Nigerian Used,2008,Silver,3500,NULL,"₦ 3,675,000"
Mercedes-Benz,GL-Class,136386,Nigerian Used,2011,Black,5500,NULL,"₦ 6,825,000"
Toyota,RAV4,147884,Nigerian Used,2007,Silver,2400,NULL,"₦ 3,640,000"
Toyota,RAV4,109660,Nigerian Used,2008,Red,3500,6,"₦ 3,307,500"
Lexus,IS,154521,Nigerian Used,2008,White,3500,NULL,"₦ 3,255,000"
Mazda,5,198267,Foreign Used,2006,Black,2000,4,"₦ 6,300,000"
Toyota,Tacoma,111455,Nigerian Used,2005,Gold,4000,NULL,"₦ 6,300,000"
Toyota,Camry,143955,Nigerian Used,2012,Black,2500,NULL,"₦ 5,200,000"
Toyota,Venza,95687,Foreign Used,2010,Silver,3500,NULL,"₦ 9,360,000"
Land Rover,Range Rover Evoque,54000,Nigerian Used,2012,Red,2800,NULL,"₦ 7,087,500"
Toyota,Highlander,108308,Nigerian Used,2008,Black,3500,NULL,"₦ 4,410,000"
Lexus,RX 400h,235884,Foreign Used,2006,Black,3300,NULL,"₦ 6,300,000"
Toyota,Corolla,208707,Foreign Used,2005,Silver,1800,NULL,"₦ 3,744,000"
Mercedes-Benz,GLS-Class,76707,Foreign Used,2019,White,4000,NULL,"₦ 43,470,000"
Kia,Quoris,34428,Nigerian Used,2013,Black,3800,NULL,"₦ 16,800,000"
Lexus,RX 350,216533,Foreign Used,2009,Gray,3500,NULL,"₦ 6,195,000"
Hyundai,Elantra,114412,Nigerian Used,2015,Brown,1800,NULL,"₦ 3,045,000"
Hyundai,Santa Fe,290680,Foreign Used,2008,Gray,3300,NULL,"₦ 4,680,000"
Mercedes-Benz,S-Class,87535,Nigerian Used,2008,Black,55009,NULL,"₦ 8,320,000"
Lexus,ES,139286,Foreign Used,2005,White,3300,NULL,"₦ 3,990,000"
Nissan,Murano,128748,Nigerian Used,2012,Black,3500,6,"₦ 3,990,000"
Toyota,FJ Cruiser,89371,Nigerian Used,2007,Black,4000,NULL,"₦ 4,200,000"
Toyota,Camry,138946,Nigerian Used,2012,Black,2500,NULL,"₦ 4,700,000"
Lexus,GS,197705,Foreign Used,2008,Black,3500,NULL,"₦ 4,725,000"
Lexus,RX 350,103089,Foreign Used,2015,Gray,3500,NULL,"₦ 14,700,000"
Toyota,Corolla,185043,Nigerian Used,2008,Black,1800,NULL,"₦ 3,640,000"
