Brand,Model,Year,Mileage,Condition,Price,Number of Cylinders,Engine Capacity,Ratings,Color
Toyota,Corolla,2015,186024,Foreign Used, 7530000,4,1000.0, 4.20,Grey
Mercedes-Benz,GLK 350,2015,87465,Foreign Used, 13530000,6,3000.0, 4.50,black
Toyota,Highlander,2008,142719,Foreign Used, 7230000,6,3500.0, 4.40,Red
Toyota,Sienna,2006,115232,Foreign Used, 4880000,6,3000.0, 4.50,gold
Honda,Crosstour,2012,120661,Foreign Used, 5030000,6,3000.0, 4.50,Silver
Toyota,Camry,2014,42677,Foreign Used, 7265000,4,, 4.00,Silver
Toyota,Camry,2012,102335,Foreign Used, 6015000,4,1000.0, 4.30,black
Toyota,Corolla,2011,80547,Foreign Used, 6015000,4,1000.0, 4.30,black
Toyota,Hiace,2007,65234,Foreign Used, 10515000,4,2400.0, 4.20,ash
Mercedes-Benz,GLK 350,2012,65345,Foreign Used, 10330000,6,5900.0, 4.40,White
Toyota,Highlander,2008,152000,Foreign Used, 10715000,6,3500.0, 4.40,Grey
Lexus,RX 350,2013,91276,Foreign Used, 14015000,6,3500.0, 4.40,black
Toyota,Matrix,2005,121256,Foreign Used, 3530000,4,, 4.50,black
Lexus,RX 350,2011,96074,Foreign Used, 12030000,6,3500.0, 4.40,Red
Toyota,Camry,2009,98638,Foreign Used, 4965000,4,4800.0, 4.40,Grey
Toyota,Camry,2014,30382,Locally Used, 7530000,4,2000.0, 3.40,Blue
Toyota,RAV 4,2010,194780,Foreign Used, 6865000,6,1000.0, 4.20,White
Hyundai,Sonata,2015,58900,Locally Used, 5695000,6,5900.0, 3.50,Silver
Toyota,Avalon,2005,84740,Foreign Used, 3165000,6,3500.0, 4.00,sliver
Lexus,ES 350,2007,97852,Foreign Used, 6180000,6,2500.0, 4.50,black
Toyota,Corolla,2013,87965,Foreign Used, 5080000,4,1500.0, 4.50,Grey
Lexus,ES 350,2007,96452,Foreign Used, 6080000,6,2500.0, 4.50,gold
Toyota,Camry,2012,176000,Foreign Used, 6515000,4,, 4.20,Silver
Toyota,Venza,2013,201667,Foreign Used, 9815000,6,5900.0, 4.30,black
Toyota,Venza,2011,133905,Foreign Used, 9630000,6,5900.0, 4.50,White
Toyota,Avalon,2006,229353,Foreign Used, 4330000,6,3500.0, 4.30,Silver
Toyota,Camry,2007,182000,Foreign Used, 4615000,4,, 4.40,Blue
Toyota,Corolla,2014,75236,Foreign Used, 7780000,4,2000.0, 4.50,Red
Toyota,Highlander,2014,120000,Foreign Used, 15030000,6,6000.0, 4.40,White
Mercedes-Benz,GLK 350,2010,173702,Foreign Used, 12030000,6,6000.0, 4.40,black
Toyota,Highlander,2010,155378,Foreign Used, 10015000,6,6000.0, 4.40,White
Lexus,GX 460,2015,128694,Foreign Used, 26615000,8,, 4.30,yellow
Toyota,Camry,2022,4013,Foreign Used, 26045000,4,1000.0, 4.20,Grey
Mercedes-Benz,ML 350,2012,97739,Foreign Used, 15030000,6,3500.0, 4.30,Grey
Mitsubishi,L200,2022,50,Brand New, 20515000,6,4000.0,,White
Toyota,Highlander,2013,163870,Foreign Used, 12315000,6,4000.0, 4.00,black and orange
Toyota,Camry,2013,167937,Locally Used, 4615000,4,1000.0, 4.10,Grey
Honda,Crosstour,2010,59132,Locally Used, 3315000,6,1000.0, 4.00,Silver
Toyota,Camry,2009,97058,Foreign Used, 4265000,4,2000.0, 4.50,Blue
Toyota,Avalon,2013,78130,Locally Used, 9815000,6,, 3.40,Red
Hyundai,Sonata,2015,138300,Foreign Used, 6015000,4,, 4.20,White
Toyota,Hiace,2006,87123,Foreign Used, 10730000,4,2400.0, 4.20,ash
Toyota,Camry,2012,63784,Foreign Used, 7015000,6,1000.0, 4.00,Red
